Spade,Ace,1
Spade,Two,2
Spade,Three,3
Spade,Four,4
Spade,Five,5
Spade,Six,6
Spade,Seven,7
Spade,Eight,8
Spade,Nine,9
Spade,Ten,10
Spade,Jack,10
Spade,Queen,10
Spade,King,10
Heart,Ace,1
Heart,Two,2
Heart,Three,3
Heart,Four,4
Heart,Five,5
Heart,Six,6
Heart,Seven,7
Heart,Eight,8
Heart,Nine,9
Heart,Ten,10
Heart,Jack,10
Heart,Queen,10
Heart,King,10
Diamond,Ace,1
Diamond,Two,2
Diamond,Three,3
Diamond,Four,4
Diamond,Five,5
Diamond,Six,6
Diamond,Seven,7
Diamond,Eight,8
Diamond,Nine,9
Diamond,Ten,10
Diamond,Jack,10
Diamond,Queen,10
Diamond,King,10
Club,Ace,1
Club,Two,2
Club,Three,3
Club,Four,4
Club,Five,5
Club,Six,6
Club,Seven,7
Club,Eight,8
Club,Nine,9
Club,Ten,10
Club,Jack,10
Club,Queen,10
Club,King,10
